Answer,Answer.f1.angry.raw,Answer.f1.anxious.raw,Answer.f1.bored.raw,Answer.f1.calm.raw,Answer.f1.confused.raw,Answer.f1.disgusted.raw,Answer.f1.excited.raw,Answer.f1.frustrated.raw,Answer.f1.happy.raw,Answer.f1.nostalgic.raw,Answer.f1.proud.raw,Answer.f1.sad.raw,Answer.f1.satisfied.raw,Answer.f1.surprised.raw
ed is a good friend of mine.  he rang the bell an dthere he was.  he delivered my mail to me as he often does.  we chatted for a bit and he had his dogs with him.  he is such a good and kind person and it is always a delight to see him,False,False,False,False,False,False,False,False,True,False,False,False,False,True
"I exercised yesterday as I'd planned, going for a power walk and then lifting weights after dinner.  I felt proud about being committed to it and getting it done, although I also found it challenging and dull.  I really had to push myself to start.  Once I started it wasn't bad though.  And now I want to keep doing this and getting in better and better shape.",False,True,True,False,False,False,False,False,False,False,True,False,False,False
I was in daily mass and there was a scripture reading that I felt was very relevant and spoke to me and made me calm.,False,False,False,True,False,False,False,False,False,False,False,False,False,False
I walked for 3 miles yesterday which is more than my target for a day,False,False,False,False,False,False,True,False,True,False,False,False,False,False
"I was having a lot of stomach issues. I had no idea why. Maybe I was just anxious. I was thinking about an old friend for a long, long time.",False,True,False,False,True,False,False,True,False,False,False,False,False,False
"I managed to squeeze in seven hours of sleep last night, which is pretty rare for me these days.",False,False,False,True,False,False,False,False,True,False,False,False,False,False
Me and my kids were watching one of our favorite shows yesterday on television and were cracking up together and having a good time,False,False,False,True,False,False,False,False,True,False,True,False,False,False
I went to the store and bought some good food  This made me really happy because before that I didn't have much food in my house. I felt really calm and happy after i ate it and before that i was excited and happy.,False,False,False,False,False,False,True,False,True,False,False,False,True,False
"I eat a lot of good paste yesterday, I was very happy and excited.",False,False,False,False,False,False,False,False,True,False,True,False,False,False
I did my usual exercise routine of riding my bike for 20 minutes.  It was a beautiful day and the air was clean.  I enjoyed it very much.,False,False,False,True,False,False,False,False,False,False,False,False,True,False
My brother just found out he has lung cancer. I have been doing research on things like alternative therapy along with chemo and radiation and sending him the info. This is my older brother who I haven't seen in probably 5 years. I am planning a trip to go see him soon.,False,True,False,False,False,False,False,False,False,False,False,True,False,False
"I was away for three days and was excited, happy, and satisfied to see my son and spouse when I returned.",False,False,False,False,False,False,True,False,True,False,False,False,True,False
I am sick but it is just a cold. I cant do the things that I want to do.,False,False,False,False,False,False,False,True,False,False,False,False,False,False
My mother is older and having some health problems. I spoke to her on the phone and learned that she refused to take some medicine the doctor gave her. I am frustrated because I feel like she does not want to get better.,False,True,False,False,False,False,False,True,False,False,False,False,False,False
