Answer,Answer.f1.angry.raw,Answer.f1.anxious.raw,Answer.f1.bored.raw,Answer.f1.calm.raw,Answer.f1.confused.raw,Answer.f1.disgusted.raw,Answer.f1.excited.raw,Answer.f1.frustrated.raw,Answer.f1.happy.raw,Answer.f1.nostalgic.raw,Answer.f1.proud.raw,Answer.f1.sad.raw,Answer.f1.satisfied.raw,Answer.f1.surprised.raw
"My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.",False,True,False,False,False,False,False,False,True,False,True,False,False,False
"Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.",False,False,False,True,False,False,False,False,True,False,False,False,False,False
"Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.",False,False,False,False,False,False,False,False,True,False,False,False,False,False
"Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.",True,True,True,False,False,False,False,True,False,False,False,True,False,False
"Yesterday, I got a lot of things ready for listing, and fielded many questions from potential buyers. I also did some surveys on Mturk. Woke up this morning to find that there are quite a few items that now have bids and will sell today and tomorrow, and also had 2 bonuses from surveys.",False,True,False,False,False,False,False,False,False,False,True,False,True,False
"Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.",False,False,False,False,False,False,False,False,False,False,True,False,True,False
Yesterday was the sixth of the month so I read the sixth chapter of Proverbs.  The wisdom gift that God gave to Solomon is passed on to me through this writing.  I felt a great connection over the centuries to God's intervention in this man's life.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well,False,False,False,False,False,False,False,False,True,True,True,False,False,False
Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Yesterday my wife and I found out that our infertility treatment will be covered by insurance.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was happy to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I felt good that it isn't necessarily a degenerative thing.",False,False,False,False,False,False,False,False,True,False,False,False,True,False
Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them,False,False,False,False,False,False,True,False,True,False,False,False,True,False
"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.",False,False,False,False,True,False,False,False,False,False,False,True,False,False
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays",False,False,False,False,False,False,True,False,True,False,False,False,False,False
